Object Tracking Data File Fri, Nov 19, 2021 1:23 PM
X (pixels)  	Y (pixels)  
993.13	402.79
993.54	404.10
994.63	400.22
999.48	402.85
997.86	401.71
1001.58	403.73
1001.89	405.84
999.01	408.78
1004.11	406.30
1004.43	415.03
995.11	416.96
995.95	415.12
997.39	418.18
995.93	420.23
1001.27	411.49
997.08	405.37
993.79	403.25
989.87	401.64
984.87	402.52
986.25	400.39
983.02	404.51
986.95	402.48
989.42	405.67
995.90	413.82
995.84	414.37
996.37	414.86
1001.34	414.94
996.58	420.44
996.03	420.17
994.96	416.82
996.71	414.07
994.57	414.85
998.71	413.71
1006.08	417.72
1014.84	420.19
1015.56	427.25
1015.47	430.44
1007.67	431.95
1012.54	431.25
1014.39	430.12
1018.22	427.98
1017.41	433.67
1020.65	430.94
1016.44	432.05
1014.93	434.25
1013.26	435.35
1016.43	432.44
1018.83	430.55
1014.32	427.45
1015.16	428.47
1018.90	422.09
1023.30	429.39
1025.86	423.46
1023.47	426.04
1026.31	421.43
1028.17	419.24
1030.07	419.49
1033.89	412.90
1028.30	410.98
1028.84	414.55
1031.81	421.61
1025.64	419.53
1023.54	421.91
1027.18	426.60
1028.47	430.17
1034.47	432.02
1032.95	434.58
1032.18	435.67
1032.48	433.75
1032.56	433.18
1036.70	436.50
1035.52	432.59
1038.04	428.27
1035.45	423.27
1029.54	424.30
1028.02	423.38
1026.53	427.72
1023.60	428.88
1029.06	433.83
1035.04	438.23
1039.31	440.56
1040.33	443.45
1040.26	439.28
1039.69	442.00
1041.23	441.58
1040.42	442.46
1036.75	438.93
1036.55	446.25
1042.10	444.48
1043.00	446.81
1043.69	451.15
1044.90	450.58
1044.62	453.41
1046.16	458.55
1049.09	460.51
1045.40	467.37
1047.61	468.55
1045.53	468.45
1046.74	473.31
1042.64	466.90
1047.62	463.64
1048.81	462.08
1046.87	461.62
1046.32	465.50
1040.89	474.10
1036.82	468.18
1037.97	463.88
1043.59	467.38
1045.12	467.83
1048.87	468.98
1045.57	468.08
1050.42	474.94
1052.41	478.50
1055.67	486.28
1059.01	486.71
1061.80	485.37
1066.47	480.65
1069.94	478.70
1069.52	479.30
1065.99	479.15
