Object Tracking Data File Fri, Nov 19, 2021 1:22 PM
X (pixels)  	Y (pixels)  
285.58	440.10
290.62	442.76
296.52	451.01
303.39	449.68
309.79	445.36
314.19	447.12
313.20	448.23
310.41	446.12
308.01	447.32
309.59	447.91
306.48	451.89
309.75	449.74
314.76	444.03
317.24	447.73
322.99	454.66
329.57	454.40
328.45	457.95
330.18	461.39
331.61	459.87
337.97	462.14
340.27	469.91
346.80	468.95
353.89	474.30
348.50	478.72
345.86	482.87
351.80	483.32
352.66	483.23
356.26	487.66
361.14	488.27
362.18	486.51
362.13	483.35
365.10	485.10
364.99	482.20
367.56	489.11
371.07	494.05
369.72	490.12
372.17	490.69
371.13	486.31
369.66	487.89
364.06	493.98
368.74	498.65
371.90	499.06
376.95	501.29
382.03	497.09
382.34	494.82
386.42	488.35
394.53	489.77
400.59	494.99
407.31	492.65
409.08	494.39
423.06	495.71
423.24	497.18
424.45	503.36
427.31	499.58
426.94	503.21
425.33	500.28
437.93	503.23
443.72	504.84
443.51	507.27
449.35	510.10
450.07	514.32
450.53	517.28
450.35	522.59
452.11	522.53
449.12	520.91
444.88	519.89
449.53	521.18
449.72	524.87
446.57	523.76
450.05	526.47
450.33	523.66
445.77	522.34
445.40	515.21
449.30	515.74
450.22	521.46
450.63	528.07
456.74	532.14
457.20	533.88
460.53	530.11
458.17	533.37
460.66	533.90
465.91	535.98
462.40	539.35
463.00	534.82
464.69	539.62
470.99	534.71
473.31	536.13
473.19	541.68
477.29	545.34
479.92	548.64
481.14	548.46
483.33	546.83
491.69	550.06
490.30	544.60
496.29	543.91
502.93	544.63
511.03	547.52
510.25	542.92
514.51	543.95
511.06	545.06
510.08	548.76
509.60	553.35
516.62	554.40
515.30	548.93
507.88	544.10
506.69	541.33
508.73	541.61
515.16	545.44
520.46	550.71
521.23	546.67
523.98	546.60
521.92	551.28
523.22	557.03
526.62	557.53
528.57	569.37
527.22	563.48
526.85	562.70
530.33	562.48
528.82	563.71
528.20	565.30
