Object Tracking Data File Fri, Nov 19, 2021 12:30 PM
X (pixels)  	Y (pixels)  
714.21	250.16
713.76	246.14
712.85	249.32
708.74	255.65
709.73	253.36
714.69	251.62
718.23	256.21
720.57	255.97
727.85	257.39
725.82	255.65
726.79	260.04
729.73	262.00
726.60	264.88
728.37	259.39
728.00	258.43
727.86	261.67
721.70	263.58
719.53	268.05
722.18	266.14
721.79	261.12
716.05	259.12
714.49	262.01
712.52	266.51
715.06	265.99
718.47	264.57
718.78	272.87
719.89	272.19
718.49	278.86
719.86	277.88
720.65	275.19
717.41	275.44
710.95	279.84
709.54	276.93
713.21	279.64
713.81	280.40
715.02	271.83
711.27	273.16
707.87	270.74
707.39	269.37
706.63	263.89
705.43	267.85
705.09	265.81
705.43	271.87
703.17	275.17
701.27	274.44
697.87	274.02
700.27	281.86
700.79	280.26
702.50	280.00
704.86	275.43
708.94	273.99
710.60	278.50
714.87	281.85
717.45	280.90
721.79	283.97
728.45	276.50
728.71	280.12
726.16	276.84
726.19	275.40
721.62	279.07
719.62	283.57
723.84	280.79
727.83	278.08
726.48	282.08
723.07	283.73
720.35	286.17
718.32	278.04
717.39	282.42
715.03	283.49
711.48	286.52
711.02	282.60
715.50	278.43
720.94	280.31
721.63	281.47
717.84	281.79
715.78	288.77
718.31	292.07
721.19	291.55
724.57	293.74
720.55	296.94
717.21	300.74
716.88	295.76
710.52	299.22
713.17	294.99
712.61	292.64
717.67	291.28
721.07	289.37
730.75	291.31
736.25	292.06
733.23	291.25
735.24	292.51
738.92	290.08
739.07	290.82
743.52	294.43
743.24	297.33
741.89	298.72
739.93	296.76
743.61	298.32
743.66	298.39
751.07	295.88
751.95	293.11
754.42	291.43
757.39	290.51
759.28	287.56
757.64	286.90
755.44	283.89
753.74	285.47
754.67	287.61
757.28	288.36
759.89	292.00
761.77	293.20
763.21	295.71
760.88	293.13
760.47	292.79
759.52	289.49
753.90	292.15
753.51	290.95
750.63	301.01
745.47	306.17
741.37	309.54
