Object Tracking Data File Fri, Nov 19, 2021 12:35 PM
X (pixels)  	Y (pixels)  
440.61	548.66
437.19	548.16
440.34	554.25
439.03	554.43
438.39	554.33
435.70	557.20
433.53	559.02
431.57	560.53
424.54	559.27
423.14	557.66
420.88	560.56
421.19	559.66
423.63	559.25
421.09	552.42
415.00	553.57
416.05	554.01
413.32	555.02
411.68	557.14
411.56	559.68
415.77	560.82
409.52	555.06
410.53	559.49
418.14	557.38
418.62	561.18
411.96	561.35
413.95	561.18
414.92	558.12
414.07	555.01
412.34	555.50
413.25	552.60
407.68	552.32
406.54	554.38
402.46	555.10
404.73	553.01
406.75	552.49
408.04	554.52
407.24	559.52
406.59	562.07
406.50	568.28
405.41	572.36
405.72	576.41
410.18	568.06
408.09	562.11
406.95	562.52
408.56	567.71
409.08	568.10
407.25	565.93
405.70	563.00
414.36	561.11
410.53	564.70
405.67	563.15
400.89	565.61
403.05	568.50
405.78	568.10
408.21	565.77
407.61	568.08
408.40	567.99
410.87	563.70
410.73	565.43
409.77	568.85
406.74	565.69
402.70	566.29
402.95	565.66
401.70	571.59
398.30	570.54
402.60	572.75
399.61	568.84
394.83	570.66
396.86	572.11
398.19	567.71
397.53	565.85
401.17	566.77
399.49	567.59
396.42	562.49
397.56	563.14
394.63	562.87
399.91	563.66
397.34	562.87
402.92	564.18
402.41	562.69
405.95	562.91
402.04	557.46
398.98	557.05
400.56	560.84
396.55	561.14
394.26	562.34
397.47	569.59
395.34	568.20
396.01	568.75
391.15	565.03
386.17	559.64
389.34	561.98
390.70	565.27
388.99	564.22
385.24	560.32
384.22	559.70
381.71	559.72
381.95	561.17
385.98	557.48
387.82	558.51
388.39	559.46
385.54	564.05
388.20	565.79
386.28	563.72
384.93	559.93
387.13	561.40
385.11	572.26
385.55	570.21
388.98	573.61
390.70	572.72
392.19	577.12
395.97	572.50
391.81	573.59
388.59	570.44
382.26	568.32
381.35	568.94
382.68	567.74
386.50	564.29
388.73	564.85
394.72	562.90
