Object Tracking Data File Fri, Nov 19, 2021 12:49 PM
X (pixels)  	Y (pixels)  
407.80	423.70
408.44	425.37
409.09	422.30
412.77	420.89
411.40	416.37
408.56	417.09
400.67	423.30
397.72	422.01
402.24	424.16
401.97	427.68
398.37	420.50
395.84	425.76
392.90	431.57
390.34	424.26
396.98	420.08
397.73	415.64
390.85	409.03
390.24	412.55
393.30	416.58
389.19	410.48
389.38	405.80
387.06	402.22
387.04	402.96
382.37	402.33
383.98	397.33
387.23	393.84
390.07	387.83
391.33	389.42
393.53	385.65
390.25	381.36
387.10	382.41
384.73	380.20
385.30	380.52
387.57	382.38
390.20	386.80
383.49	388.72
385.59	386.54
387.71	383.60
384.84	381.46
387.75	373.53
389.02	375.10
388.59	367.55
386.58	368.71
388.05	369.14
392.00	376.63
399.76	377.85
402.52	380.61
400.99	382.84
400.34	382.39
402.47	389.31
403.09	390.95
400.13	391.17
402.29	386.70
398.77	381.49
396.16	382.11
400.64	378.50
403.06	376.32
406.54	379.57
400.43	381.00
403.19	378.18
398.61	377.83
396.17	379.11
400.59	379.58
402.16	378.93
398.92	374.36
401.87	376.28
406.73	377.76
407.64	375.92
406.15	375.68
408.49	375.69
409.52	372.49
408.12	366.46
407.75	367.25
413.21	362.51
412.23	367.28
417.44	363.79
419.59	362.46
412.89	362.45
408.05	355.24
407.93	354.41
408.28	350.61
402.68	348.03
405.31	348.82
404.15	352.00
404.67	352.51
403.78	352.43
407.95	356.23
400.78	355.57
398.22	355.44
394.56	359.76
391.86	359.99
392.42	362.39
395.52	361.39
396.75	363.10
394.68	361.67
392.68	363.73
391.27	361.69
388.70	363.98
390.96	364.57
388.17	366.03
389.33	369.88
393.88	366.99
394.64	367.00
399.07	369.91
399.92	369.96
403.82	369.72
401.44	368.49
395.41	364.56
393.29	366.22
398.39	368.86
397.92	364.24
396.09	362.06
400.74	356.93
394.87	361.63
395.31	357.25
397.20	353.98
397.33	358.94
395.37	362.02
396.04	359.98
394.20	357.61
