Object Tracking Data File Fri, Nov 19, 2021 12:37 PM
X (pixels)  	Y (pixels)  
416.49	280.67
418.29	287.82
419.02	289.37
419.60	289.23
419.93	295.36
424.72	296.87
425.06	293.57
424.79	295.16
427.79	298.18
424.47	306.19
426.12	307.10
434.13	306.35
436.30	304.63
431.10	299.75
422.25	294.65
425.78	294.33
423.01	295.55
422.86	291.48
418.54	291.87
415.92	288.07
416.52	289.91
410.64	296.96
411.16	298.37
410.01	300.80
411.38	297.01
405.37	301.44
402.67	304.47
403.60	303.54
400.77	307.21
398.12	305.30
392.16	304.06
392.28	305.18
390.39	310.34
389.89	313.25
392.55	310.21
394.81	305.36
393.68	307.46
397.84	308.31
395.12	308.18
395.90	308.73
397.27	303.87
398.08	304.31
394.98	301.96
394.49	295.05
395.57	296.36
396.28	293.15
394.90	293.52
397.79	295.64
396.70	292.96
391.42	292.62
391.57	292.59
389.64	290.74
385.31	292.40
384.95	290.20
385.52	291.06
382.91	300.50
381.00	301.42
383.90	308.03
385.15	304.69
380.81	303.50
372.14	299.23
378.64	298.25
382.48	302.09
380.70	309.80
380.03	309.84
377.45	311.21
378.46	312.93
380.48	311.14
385.76	308.63
385.84	315.49
382.30	317.77
378.71	315.35
377.07	315.80
376.18	315.87
373.14	313.88
367.58	317.17
371.67	317.56
374.41	319.78
372.57	320.40
368.34	323.33
367.49	321.83
369.97	322.14
363.23	321.06
365.84	318.78
366.90	319.40
368.60	319.77
364.93	322.81
363.22	324.45
361.47	323.47
361.74	325.23
363.33	323.84
358.28	319.69
357.42	318.46
362.21	316.89
361.67	319.34
358.21	318.37
356.69	318.54
358.21	316.98
360.07	314.82
356.70	318.77
360.39	318.28
355.80	313.02
355.10	312.38
356.18	315.47
350.30	310.63
354.75	314.00
345.94	315.66
348.17	318.20
347.99	320.07
349.33	323.42
348.64	320.58
345.54	326.26
344.40	326.98
346.29	330.40
345.26	333.83
344.35	339.70
342.68	344.97
340.47	343.17
343.63	342.05
341.04	345.89
