Object Tracking Data File Fri, Nov 19, 2021 12:20 PM
X (pixels)  	Y (pixels)  
114.62	571.84
114.05	574.17
115.49	574.94
118.12	570.11
117.27	569.33
118.46	569.30
122.34	567.02
125.64	563.34
125.66	565.64
121.34	562.48
123.33	562.86
120.25	560.40
122.07	560.50
124.93	561.37
121.84	562.31
119.88	569.65
119.51	570.44
123.02	568.60
122.27	566.03
120.74	560.51
121.69	564.60
116.33	565.70
117.70	564.29
126.22	565.10
127.93	568.81
123.78	565.90
124.81	566.57
125.31	568.67
128.81	569.92
134.46	574.06
134.32	573.87
128.43	575.53
129.09	578.24
131.88	581.43
124.53	579.20
123.35	581.73
122.00	581.92
122.21	582.27
121.95	577.23
120.12	575.11
119.82	576.28
113.37	575.77
110.49	579.36
113.87	581.29
110.83	580.80
112.13	578.85
114.34	581.67
117.34	579.98
118.71	585.23
117.21	586.59
114.23	585.01
111.43	586.31
107.85	588.35
113.23	585.80
113.13	584.01
115.31	581.36
113.09	579.93
115.82	578.55
116.26	579.43
111.01	580.27
108.57	579.50
101.90	577.33
98.19	570.32
97.88	574.40
94.28	576.97
95.57	579.94
100.48	576.46
101.32	573.35
108.73	573.42
110.20	575.61
108.35	578.35
111.18	579.07
109.92	577.75
111.56	574.00
115.58	577.45
120.67	575.58
122.67	573.81
118.75	566.02
113.69	564.48
113.61	564.70
110.36	566.56
107.92	568.42
103.31	575.69
106.66	580.12
101.22	584.63
103.56	583.18
100.51	582.86
94.79	580.06
92.40	579.50
95.50	574.70
95.64	580.19
98.09	581.51
99.80	585.99
98.27	583.46
100.60	575.69
99.17	574.13
106.72	576.72
102.34	574.37
102.26	575.33
101.46	573.19
101.50	571.86
100.44	573.87
101.84	575.27
101.15	576.24
103.01	580.77
103.01	578.72
110.01	577.36
109.47	576.26
106.61	574.99
106.29	576.78
109.29	576.35
110.44	578.21
108.63	573.94
105.31	571.40
106.20	571.00
102.96	574.74
103.03	573.48
101.25	576.44
107.09	579.24
103.92	583.29
