Object Tracking Data File Fri, Nov 19, 2021 12:21 PM
X (pixels)  	Y (pixels)  
76.59	207.51
76.66	209.17
74.63	213.51
73.73	208.66
78.53	213.75
83.81	217.26
86.62	218.01
85.15	226.42
74.46	225.58
67.73	226.13
68.82	225.20
68.21	226.51
70.44	225.58
75.04	225.33
74.27	222.34
75.25	228.80
75.43	234.71
73.31	231.62
80.64	232.32
80.86	231.45
75.73	226.82
73.94	231.56
71.21	230.38
71.76	235.81
74.10	235.31
72.60	235.21
78.71	232.77
74.02	229.58
72.94	233.45
74.48	232.75
76.46	233.03
79.98	233.30
76.31	231.01
71.14	233.18
76.35	227.23
77.80	230.35
76.23	226.93
76.03	231.48
75.82	228.67
76.91	231.13
76.80	230.93
73.33	230.96
74.71	232.63
77.72	227.58
75.53	226.85
75.26	222.43
72.79	225.89
71.42	221.44
70.86	224.47
72.40	223.21
74.29	224.12
71.47	218.56
65.08	210.91
67.61	210.79
69.99	202.31
74.77	202.13
74.22	199.31
80.13	202.40
81.87	196.59
80.03	198.72
85.93	194.86
88.04	194.04
85.85	189.75
85.51	188.66
89.81	195.96
87.69	200.07
89.90	203.19
94.25	202.30
97.17	196.81
94.80	196.16
95.87	206.93
94.27	212.33
95.04	211.89
95.67	209.65
94.34	209.42
93.02	215.50
89.33	216.14
96.75	221.43
95.88	220.70
97.56	220.69
99.40	223.97
94.74	220.63
104.47	222.49
98.66	219.64
97.24	216.65
98.86	214.79
103.19	218.91
106.20	224.42
104.58	226.76
106.16	229.92
112.50	233.44
117.71	234.95
121.62	237.53
120.55	240.65
121.51	235.40
122.67	232.48
129.83	233.22
133.61	231.33
136.60	234.22
135.19	241.90
135.02	249.65
132.45	248.37
128.25	242.55
134.95	238.47
138.17	237.92
141.46	231.33
141.97	225.15
146.12	227.61
145.67	223.50
143.84	227.84
146.48	232.93
145.87	240.31
144.61	233.47
148.97	236.31
148.08	234.32
151.39	237.26
150.82	235.73
146.85	230.62
152.23	233.82
154.19	232.40
