Object Tracking Data File Fri, Nov 19, 2021 1:03 PM
X (pixels)  	Y (pixels)  
693.99	463.53
693.58	470.47
703.65	465.86
712.96	470.83
709.05	468.70
712.88	468.24
713.49	469.72
710.64	468.67
711.64	470.40
715.89	468.39
711.22	467.56
713.26	468.43
714.99	468.34
714.28	457.44
714.77	451.67
716.48	451.49
712.44	452.51
711.32	450.37
715.65	455.10
710.60	450.21
714.05	451.43
715.45	452.47
715.74	451.32
715.65	455.99
717.39	455.05
714.94	451.96
709.87	445.68
708.82	447.51
713.61	448.32
715.00	449.07
720.18	442.58
723.31	444.09
732.36	445.29
735.98	441.11
736.02	445.09
738.83	449.72
740.02	446.06
739.36	449.85
738.82	446.47
744.83	442.77
745.13	440.63
745.47	443.59
749.27	439.89
752.02	445.61
747.60	446.69
752.20	449.12
749.02	449.20
749.57	454.39
753.63	453.92
756.61	450.63
752.32	451.92
748.83	448.07
746.01	447.00
751.35	445.88
751.09	448.31
755.68	448.55
754.32	448.56
756.69	445.36
754.77	443.66
755.38	441.58
757.95	443.42
760.25	444.98
758.92	446.13
756.16	447.09
757.32	446.03
758.67	444.00
755.38	441.70
759.08	442.95
759.05	446.68
755.36	451.09
762.27	447.09
754.55	448.31
755.46	452.94
756.69	450.73
756.40	443.21
755.14	440.57
755.37	441.95
754.49	437.72
752.74	440.24
752.34	442.57
756.62	452.82
753.22	454.35
753.29	456.76
748.15	455.50
746.61	455.93
754.58	452.06
752.91	452.22
748.16	452.77
747.02	454.73
744.27	458.51
748.56	456.57
747.95	455.96
748.94	453.56
745.72	453.44
745.90	452.93
744.08	453.64
744.02	453.40
741.96	450.94
744.78	449.64
745.03	447.96
744.78	446.52
738.23	444.71
738.77	450.39
740.89	454.51
746.47	452.64
757.61	451.46
756.94	448.42
754.85	442.14
756.22	436.04
751.65	435.10
749.75	431.05
744.85	429.22
742.17	431.33
744.64	428.64
744.19	432.69
750.21	435.37
746.55	441.17
742.56	441.07
737.31	441.81
732.97	442.24
