Object Tracking Data File Fri, Nov 19, 2021 1:00 PM
X (pixels)  	Y (pixels)  
554.27	601.83
546.56	606.59
549.05	602.36
550.94	598.20
553.55	597.21
549.70	600.30
549.94	602.82
555.20	596.49
559.95	586.53
562.33	583.99
565.56	583.26
562.54	583.96
566.33	587.51
563.22	588.31
566.68	592.60
565.75	590.25
568.67	592.85
569.09	591.49
565.93	594.34
558.66	598.57
562.77	602.69
567.94	601.60
568.52	595.64
574.50	591.10
574.70	593.30
570.70	592.32
569.80	599.50
566.46	601.42
563.31	596.29
567.56	599.00
566.40	598.72
565.21	597.69
563.80	597.27
562.85	602.68
565.14	597.52
559.98	597.58
567.31	593.44
563.39	591.10
557.28	594.14
557.13	591.45
557.16	591.53
557.40	592.18
558.64	584.09
554.08	579.07
550.11	586.15
552.97	586.14
551.08	583.64
555.56	580.61
556.34	581.35
562.50	584.92
562.36	590.07
557.55	592.47
553.19	589.82
561.85	587.52
559.18	588.45
555.89	581.79
557.94	585.12
561.53	590.10
556.40	588.94
557.57	589.60
557.87	587.35
557.67	580.68
557.70	581.60
556.19	579.76
555.45	580.88
552.43	582.21
556.93	581.99
552.61	585.75
559.37	585.76
563.56	586.17
564.85	593.04
565.29	597.62
562.14	596.98
562.16	592.71
563.00	598.77
564.27	594.10
565.17	586.78
563.24	585.13
561.95	586.62
569.99	587.51
569.75	584.60
569.12	584.86
571.25	587.38
573.65	585.07
577.56	589.19
576.75	587.02
575.76	587.04
572.05	589.64
570.99	591.23
571.64	590.14
575.80	590.10
576.95	585.58
580.47	587.25
580.15	583.50
577.49	579.47
577.24	575.45
574.84	570.48
574.27	572.58
570.50	579.28
575.89	577.86
578.82	575.34
579.09	577.77
582.06	575.63
579.98	573.80
578.48	565.99
579.67	571.36
583.79	565.60
582.55	565.12
582.65	563.57
578.04	561.77
586.34	553.54
588.27	554.04
592.78	552.71
596.51	546.46
595.29	545.59
602.79	554.71
602.86	552.31
602.05	551.02
606.73	554.33
604.77	550.90
