Object Tracking Data File Fri, Nov 19, 2021 12:38 PM
X (pixels)  	Y (pixels)  
367.74	415.69
368.71	414.88
371.79	417.05
371.27	417.47
368.24	414.98
366.02	410.52
371.87	415.84
371.85	414.83
377.52	415.85
378.81	414.31
380.95	414.39
378.36	413.91
375.05	407.32
377.88	411.61
376.99	411.28
374.90	407.61
372.15	414.12
366.72	416.94
366.69	418.74
363.89	420.07
363.93	422.30
364.64	424.28
363.85	428.86
364.37	420.93
360.17	421.26
353.47	421.94
350.61	427.24
345.52	434.89
339.83	436.29
336.54	438.01
342.83	434.77
350.15	430.41
343.81	431.61
343.16	431.76
343.56	432.81
341.04	434.51
338.74	435.53
338.60	434.69
333.79	435.17
331.17	440.72
331.97	439.26
330.39	437.33
332.90	440.21
334.01	437.89
332.76	445.91
334.76	439.72
327.26	444.17
327.08	441.44
330.39	445.56
328.11	442.38
326.82	445.57
325.53	446.38
321.85	446.94
320.67	441.60
321.26	440.69
324.06	444.78
324.27	444.32
324.07	446.96
332.50	452.92
329.92	456.30
328.00	459.04
328.63	462.87
329.04	466.72
325.83	471.61
332.04	472.71
330.67	475.16
327.98	477.35
323.80	474.64
325.54	473.70
329.94	476.28
332.84	477.93
332.77	476.79
327.83	475.94
329.55	479.58
322.83	483.57
320.61	484.02
320.21	485.59
318.87	482.36
317.37	480.19
314.28	476.69
314.52	474.60
316.33	481.89
312.54	487.05
317.36	482.23
312.72	478.30
309.98	476.95
309.11	472.97
304.52	477.48
296.49	477.68
293.06	476.45
296.89	482.35
300.98	476.91
294.64	469.40
288.55	472.53
288.21	475.50
285.73	476.18
289.73	477.09
294.32	477.40
289.28	477.30
286.25	481.78
289.96	486.23
294.25	479.90
294.81	483.48
300.22	476.61
298.93	477.80
293.16	484.42
293.23	487.06
291.91	482.13
291.45	482.04
293.95	491.55
300.23	497.96
302.12	492.47
302.68	487.99
301.79	486.52
302.14	488.85
302.32	486.52
304.61	489.61
304.38	490.69
303.70	492.94
304.31	492.81
