Object Tracking Data File Fri, Nov 19, 2021 12:45 PM
X (pixels)  	Y (pixels)  
789.83	466.34
792.05	468.43
790.65	467.88
790.20	469.37
790.39	474.46
783.93	475.01
784.60	471.51
781.72	470.18
782.96	476.70
780.02	480.08
779.25	480.57
776.92	484.90
778.83	483.88
778.50	487.16
777.83	490.18
777.46	486.27
777.46	487.32
772.66	482.91
769.84	482.51
773.63	484.42
775.20	484.49
776.17	481.61
773.59	485.61
775.69	486.89
778.16	483.94
777.90	484.33
776.76	484.37
775.01	484.71
778.07	486.38
775.19	484.34
777.56	488.18
779.66	486.03
777.37	484.62
776.96	485.00
776.76	482.06
779.62	481.85
775.09	481.64
775.46	481.64
775.50	480.00
775.87	476.79
776.83	475.95
779.77	476.34
784.55	476.04
780.63	476.58
780.58	479.67
780.70	476.01
780.36	475.47
781.10	475.55
780.11	480.41
784.50	483.62
785.94	483.94
786.26	480.94
783.92	476.48
786.69	475.71
787.27	479.15
790.95	484.66
791.20	481.17
791.16	480.27
790.32	475.45
787.35	475.69
787.20	471.56
786.47	475.32
782.04	474.95
775.94	473.70
777.84	474.65
774.46	478.39
777.46	469.31
782.13	471.26
778.14	469.23
781.78	470.10
783.40	466.72
782.15	465.36
783.44	459.55
781.32	461.08
782.94	455.66
785.16	457.16
781.54	453.42
778.11	453.14
782.10	450.64
782.46	450.27
783.71	446.18
786.75	450.68
782.31	451.00
776.96	450.05
780.64	452.65
789.04	446.31
787.55	448.66
788.40	451.90
788.23	450.58
787.54	449.66
791.04	443.20
793.16	441.04
796.40	439.78
794.81	439.96
794.49	439.60
798.21	440.51
796.05	444.70
800.01	444.49
797.01	439.61
800.99	442.28
800.82	449.04
800.36	450.89
800.12	450.60
795.33	451.15
792.91	451.69
794.89	450.72
789.84	452.65
787.34	452.38
787.08	455.29
784.27	450.79
781.24	443.05
782.67	443.84
784.01	445.34
784.47	444.64
786.34	444.37
787.51	445.45
788.30	447.74
785.93	450.91
787.36	447.47
784.95	445.29
