Object Tracking Data File Fri, Nov 19, 2021 12:19 PM
X (pixels)  	Y (pixels)  
717.55	448.06
722.87	450.60
727.33	453.61
726.50	454.50
727.88	454.37
722.94	452.76
721.82	445.84
721.51	442.00
731.52	441.51
734.34	440.59
736.67	445.44
738.20	443.89
741.09	445.39
750.97	446.43
752.64	448.04
754.32	443.90
754.30	444.22
755.24	443.86
756.62	450.44
754.27	443.09
758.11	443.01
761.46	441.83
761.63	435.19
767.51	433.13
767.90	429.97
768.19	434.39
771.67	440.07
769.36	436.00
768.01	433.72
766.85	437.81
768.04	439.36
767.60	434.52
766.70	437.49
766.23	432.57
764.22	431.00
764.16	434.48
764.87	434.20
762.74	431.68
761.16	431.64
757.50	435.28
758.25	437.63
757.78	427.34
757.38	427.98
756.48	432.01
752.08	434.21
749.22	433.28
749.07	431.10
750.16	429.53
752.10	422.80
758.01	422.10
759.95	416.29
758.09	416.13
761.79	414.70
760.22	418.32
761.03	419.89
758.57	422.50
760.64	421.86
762.10	420.09
764.04	416.64
767.22	418.39
767.78	419.09
762.54	420.57
765.37	428.37
767.23	422.38
766.34	425.82
765.28	424.95
763.66	424.64
766.32	427.70
765.59	427.09
765.89	425.76
763.06	428.70
765.20	430.10
768.85	431.98
763.50	433.38
768.69	437.08
766.82	433.83
767.17	435.49
768.51	433.43
766.70	436.10
767.23	435.64
768.30	436.91
772.06	435.11
778.76	436.47
780.84	433.59
779.37	432.89
779.88	435.05
777.72	433.95
779.40	434.11
783.65	435.83
785.66	438.37
789.98	437.86
787.59	440.73
790.35	434.39
788.42	427.98
791.38	424.72
792.33	421.55
796.47	426.27
795.48	422.07
795.84	423.74
793.45	430.83
794.16	433.40
793.11	436.72
796.74	437.56
798.94	433.18
800.77	437.60
805.24	437.48
803.09	437.67
801.83	435.35
801.79	433.75
803.88	437.50
801.87	440.70
804.67	432.50
805.94	432.23
800.20	440.18
806.87	442.19
806.07	436.44
800.17	438.36
803.55	441.69
800.73	442.85
801.41	439.22
