Object Tracking Data File Fri, Nov 19, 2021 1:24 PM
X (pixels)  	Y (pixels)  
27.02	137.51
31.94	134.73
34.24	137.56
39.09	136.99
40.81	137.24
34.36	138.38
42.75	138.96
38.00	139.54
40.26	140.29
43.67	142.10
43.29	140.05
40.04	130.78
41.80	132.42
40.27	131.34
46.33	131.69
44.30	136.23
43.22	131.65
39.09	128.47
39.89	131.45
41.20	134.85
42.12	140.32
46.01	139.26
40.28	137.32
40.00	136.71
45.21	130.36
40.77	136.13
43.76	139.12
43.24	141.20
46.51	139.15
43.81	137.50
40.35	140.32
41.83	139.49
41.35	137.27
36.63	138.80
32.45	136.50
32.09	136.08
34.43	137.07
30.71	136.98
35.36	135.43
42.06	140.04
43.29	139.83
44.75	136.50
49.92	135.94
50.87	134.61
53.70	136.30
52.15	143.66
58.40	143.62
66.37	151.03
66.47	146.43
70.68	145.89
75.09	142.92
74.75	142.49
76.46	142.18
72.33	147.16
76.69	145.61
79.08	147.10
81.29	144.92
76.82	149.03
80.24	150.44
78.39	151.33
84.44	155.35
90.96	153.42
94.44	150.92
99.09	143.15
97.40	143.68
94.74	145.58
94.13	149.38
98.63	145.74
99.84	145.57
108.16	148.26
106.89	146.95
102.81	146.35
104.75	150.83
103.68	152.18
102.16	154.12
101.67	155.41
101.60	153.66
99.28	153.02
99.77	147.69
101.64	150.49
107.92	147.21
110.91	152.18
110.63	149.28
114.70	149.51
117.79	150.27
120.93	149.63
122.14	144.15
116.62	145.29
116.40	148.25
123.95	148.84
128.85	148.13
134.00	145.26
133.16	148.43
132.88	149.22
129.71	148.27
128.67	145.58
129.86	147.54
130.66	150.91
134.05	154.68
138.46	155.27
136.28	154.70
130.90	153.47
131.38	154.81
129.92	152.64
135.43	158.82
140.18	155.42
148.47	158.50
143.05	162.42
141.64	162.94
148.89	167.26
150.50	165.07
146.85	163.91
153.05	164.32
155.87	169.00
159.86	162.99
160.42	165.72
165.12	162.74
167.88	160.95
174.63	163.51
175.81	160.10
